2026-01-11 21:53:08.295 | INFO  | [e16473dd-c09a-4a49-86e3-5f53095fe340] [] [904e194e-5eed-4792-bb84-3027cdda059c] | http-nio-8080-exec-5 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@9327e3
2026-01-11 21:53:08.317 | ERROR | [e16473dd-c09a-4a49-86e3-5f53095fe340] [] [904e194e-5eed-4792-bb84-3027cdda059c] | http-nio-8080-exec-5 | com.gasagency.service.SaleService | Insufficient inventory for variant: 19KG Cylinder. Available: 3, Requested: 6
2026-01-11 21:53:15.086 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@14088e16
2026-01-11 21:53:15.098 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | com.gasagency.service.SaleService | Sale validation complete - Total amount: 1500.00, Items: 1
2026-01-11 21:53:15.118 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | com.gasagency.service.SaleService | Sale created with id: 11 for customer: Tushar Rokade - Total: 1500.00
2026-01-11 21:53:15.132 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.service.InventoryStockService | OPERATION_START | operation=DECREMENT_FILLED_WITH_CHECK | variantId=1 | qty=3
2026-01-11 21:53:15.142 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=DECREMENT_FILLED_QTY_CHECK | variantId=1 | newQty=0
2026-01-11 21:53:15.143 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.service.InventoryStockService | OPERATION_START | operation=INCREMENT_EMPTY_QTY | variantId=1 | qty=0
2026-01-11 21:53:15.143 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=INCREMENT_EMPTY_QTY | variantId=1 | newEmptyQty=No increment (qty=0)
2026-01-11 21:53:15.144 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.s.CustomerCylinderLedgerService | OPERATION_START | operation=CREATE_LEDGER_ENTRY | customerId=1 | variantId=1
2026-01-11 21:53:15.163 | INFO  | [3667e0e0-0e4c-4bc0-b248-909f28e4d7cf] [] [14f3de19-7bb2-43e2-9d51-6da8c4c8aa6e] | http-nio-8080-exec-1 | c.g.s.CustomerCylinderLedgerService | OPERATION_SUCCESS | operation=CREATE_LEDGER_ENTRY | id=16 | customerId=1 | balance=7
