2026-01-15 11:53:34.048 | [0f93a263-266f-4b02-a171-121f9e94203d] | 0f93a263-266f-4b02-a171-121f9e94203d|method=POST|path=/api/auth/login|status=200|duration=1536ms|category=SLOW
2026-01-15 11:53:34.552 | [e72a9ab1-4839-40ed-a280-1ce2394233e7] | e72a9ab1-4839-40ed-a280-1ce2394233e7|method=GET|path=/api/ledger/pending-summary|status=200|duration=215ms|category=FAST
2026-01-15 11:53:34.570 | [79a7fdf2-098c-43b1-b7d9-4423845a0c0e] | 79a7fdf2-098c-43b1-b7d9-4423845a0c0e|method=GET|path=/api/sales/summary|status=200|duration=237ms|category=FAST
2026-01-15 11:53:34.583 | [e3794bff-eb79-47b7-af27-b203df415c6f] | e3794bff-eb79-47b7-af27-b203df415c6f|method=GET|path=/api/sales/recent|status=200|duration=270ms|category=FAST
2026-01-15 11:53:34.592 | [952c4d6b-b89b-4afa-93ee-50ba0cff8a8e] | 952c4d6b-b89b-4afa-93ee-50ba0cff8a8e|method=GET|path=/api/inventory|status=200|duration=273ms|category=FAST
2026-01-15 11:54:50.584 | [9ba53074-f7cb-4dc0-b172-b752b4736288] | 9ba53074-f7cb-4dc0-b172-b752b4736288|method=GET|path=/api/sales/summary|status=200|duration=40ms|category=FAST
2026-01-15 11:54:50.622 | [638534e7-b7fd-428c-8ae5-515495184d82] | 638534e7-b7fd-428c-8ae5-515495184d82|method=GET|path=/api/sales/recent|status=200|duration=71ms|category=FAST
2026-01-15 11:54:50.623 | [cd2d6ad4-6033-42f9-bd5b-576cf7acc86f] | cd2d6ad4-6033-42f9-bd5b-576cf7acc86f|method=GET|path=/api/inventory|status=200|duration=32ms|category=FAST
2026-01-15 11:54:50.662 | [7338bf56-a2c9-45eb-a611-9ce60e58c5d9] | 7338bf56-a2c9-45eb-a611-9ce60e58c5d9|method=GET|path=/api/ledger/pending-summary|status=200|duration=82ms|category=FAST
2026-01-15 11:54:54.010 | [e01ddfc4-e7cb-4442-b3ec-b8b354c201ce] | e01ddfc4-e7cb-4442-b3ec-b8b354c201ce|method=GET|path=/api/suppliers|status=200|duration=36ms|category=FAST
2026-01-15 11:54:54.022 | [bef8a8a7-a391-4f09-9091-e6c3ee3bdace] | bef8a8a7-a391-4f09-9091-e6c3ee3bdace|method=GET|path=/api/business-info/1|status=200|duration=52ms|category=FAST
2026-01-15 11:54:54.026 | [d9c411cb-3f30-4291-a424-7b84b06f0184] | d9c411cb-3f30-4291-a424-7b84b06f0184|method=GET|path=/api/variants|status=200|duration=57ms|category=FAST
2026-01-15 11:54:54.070 | [bf6e092c-43ac-464b-b749-489abdbfdcf8] | bf6e092c-43ac-464b-b749-489abdbfdcf8|method=GET|path=/api/supplier-transactions|status=200|duration=97ms|category=FAST
2026-01-15 11:54:56.564 | [1becbda4-d428-4339-907b-fae9de3c4483] | 1becbda4-d428-4339-907b-fae9de3c4483|method=GET|path=/api/expense-categories|status=200|duration=33ms|category=FAST
2026-01-15 11:54:58.641 | [abd5a1d4-7000-4d0a-ac62-1e33e9f514b6] | abd5a1d4-7000-4d0a-ac62-1e33e9f514b6|method=GET|path=/api/suppliers|status=200|duration=14ms|category=FAST
2026-01-15 11:54:58.643 | [dbf6327b-972d-456b-a6a7-fad9e068c7a9] | dbf6327b-972d-456b-a6a7-fad9e068c7a9|method=GET|path=/api/variants|status=200|duration=17ms|category=FAST
2026-01-15 11:54:58.650 | [03745e15-84ab-4219-9d8e-5ba3c0f9f999] | 03745e15-84ab-4219-9d8e-5ba3c0f9f999|method=GET|path=/api/business-info/1|status=200|duration=38ms|category=FAST
2026-01-15 11:54:58.650 | [6f24ea3a-f917-4ff3-a30a-e06c7780b5c1] | 6f24ea3a-f917-4ff3-a30a-e06c7780b5c1|method=GET|path=/api/supplier-transactions|status=200|duration=39ms|category=FAST
2026-01-15 11:55:00.094 | [dfdf8187-4543-4724-990e-ae60de3bf65c] | dfdf8187-4543-4724-990e-ae60de3bf65c|method=GET|path=/api/expense-categories|status=200|duration=16ms|category=FAST
2026-01-15 11:55:00.913 | [c9b9c9a8-65fc-4926-b0ed-301749ced680] | c9b9c9a8-65fc-4926-b0ed-301749ced680|method=GET|path=/api/variants|status=200|duration=14ms|category=FAST
