2026-01-17 10:25:56.842 | [658dd438-0f98-4911-8172-ca0dffe8c30d] | 658dd438-0f98-4911-8172-ca0dffe8c30d|method=POST|path=/api/auth/login|status=200|duration=1504ms|category=SLOW
2026-01-17 10:25:57.409 | [389c11c1-1900-41ff-bade-1d0a16039449] | 389c11c1-1900-41ff-bade-1d0a16039449|method=GET|path=/api/sales/summary|status=200|duration=247ms|category=FAST
2026-01-17 10:25:57.421 | [85024ae5-8152-4a69-9dd5-4553504e7015] | 85024ae5-8152-4a69-9dd5-4553504e7015|method=GET|path=/api/ledger/pending-summary|status=200|duration=243ms|category=FAST
2026-01-17 10:25:57.442 | [14d33209-c39e-423a-9702-b30c50ddfae4] | 14d33209-c39e-423a-9702-b30c50ddfae4|method=GET|path=/api/sales/recent|status=200|duration=314ms|category=FAST
2026-01-17 10:25:57.442 | [69f1dd12-259a-4ade-afbd-3b7b8217bdda] | 69f1dd12-259a-4ade-afbd-3b7b8217bdda|method=GET|path=/api/inventory|status=200|duration=285ms|category=FAST
2026-01-17 10:26:03.189 | [a059d855-1aa2-45f4-a984-2337162d145c] | a059d855-1aa2-45f4-a984-2337162d145c|method=GET|path=/api/variants|status=200|duration=28ms|category=FAST
2026-01-17 10:26:03.243 | [f8257db8-8129-42c5-9c3f-5a700066e5c3] | f8257db8-8129-42c5-9c3f-5a700066e5c3|method=GET|path=/api/warehouses/active|status=200|duration=43ms|category=FAST
2026-01-17 10:26:03.452 | [65edc936-ab49-4d72-be3f-966c127f02ab] | 65edc936-ab49-4d72-be3f-966c127f02ab|method=GET|path=/api/customers|status=200|duration=284ms|category=FAST
2026-01-17 10:26:25.573 | [9ac0d821-af87-457e-9258-3062a995b139] | 9ac0d821-af87-457e-9258-3062a995b139|method=GET|path=/api/users/1|status=200|duration=23ms|category=FAST
2026-01-17 10:26:26.507 | [697c8876-177f-4043-bdc6-906a66c2d0be] | 697c8876-177f-4043-bdc6-906a66c2d0be|method=GET|path=/api/variants|status=200|duration=16ms|category=FAST
2026-01-17 10:26:26.534 | [4bd36cd3-2dbe-42d4-a580-cf6a5be8e29d] | 4bd36cd3-2dbe-42d4-a580-cf6a5be8e29d|method=GET|path=/api/business-info/1|status=200|duration=34ms|category=FAST
2026-01-17 10:27:16.202 | [44e09857-3331-4109-b5fd-acf42426e290] | 44e09857-3331-4109-b5fd-acf42426e290|method=GET|path=/api/variants|status=200|duration=16ms|category=FAST
2026-01-17 10:27:16.229 | [422af7d0-9bcc-490c-8792-6f1929ef2f26] | 422af7d0-9bcc-490c-8792-6f1929ef2f26|method=GET|path=/api/business-info/1|status=200|duration=17ms|category=FAST
2026-01-17 10:27:31.680 | [c3dbb975-9be7-4a10-a685-14f1fcec08fb] | c3dbb975-9be7-4a10-a685-14f1fcec08fb|method=GET|path=/api/business-info/1|status=200|duration=16ms|category=FAST
2026-01-17 10:27:31.685 | [f01eca8d-1e02-49f5-b117-e8fc6e5785c8] | f01eca8d-1e02-49f5-b117-e8fc6e5785c8|method=GET|path=/api/variants|status=200|duration=21ms|category=FAST
2026-01-17 10:27:37.373 | [7b500f63-179a-4553-89dc-8fa8f1d1980a] | 7b500f63-179a-4553-89dc-8fa8f1d1980a|method=GET|path=/api/business-info/1|status=200|duration=14ms|category=FAST
2026-01-17 10:27:37.373 | [742c2217-0ba1-4640-a04f-4d119971df4d] | 742c2217-0ba1-4640-a04f-4d119971df4d|method=GET|path=/api/variants|status=200|duration=14ms|category=FAST
2026-01-17 10:27:44.594 | [d008915c-b2df-44a7-b80e-179f63daaa59] | d008915c-b2df-44a7-b80e-179f63daaa59|method=GET|path=/api/business-info/1|status=200|duration=14ms|category=FAST
2026-01-17 10:27:44.600 | [6b3e4a82-4cbc-44bb-9c91-82667c62d3a4] | 6b3e4a82-4cbc-44bb-9c91-82667c62d3a4|method=GET|path=/api/variants|status=200|duration=23ms|category=FAST
2026-01-17 10:27:52.723 | [4f1ca44b-446e-43f0-84d1-9197c6eb635c] | 4f1ca44b-446e-43f0-84d1-9197c6eb635c|method=GET|path=/api/variants|status=200|duration=16ms|category=FAST
2026-01-17 10:27:52.723 | [57c58a3d-4c17-4e0a-a066-1c3c0d395434] | 57c58a3d-4c17-4e0a-a066-1c3c0d395434|method=GET|path=/api/business-info/1|status=200|duration=8ms|category=FAST
2026-01-17 10:27:56.669 | [0eb16874-2fd5-419e-a645-f8aab5a1ee4c] | 0eb16874-2fd5-419e-a645-f8aab5a1ee4c|method=GET|path=/api/warehouses|status=200|duration=16ms|category=FAST
2026-01-17 10:29:21.072 | [a99d4bac-aad6-4210-96e6-5400023b19fd] | a99d4bac-aad6-4210-96e6-5400023b19fd|method=GET|path=/api/expense-categories|status=200|duration=28ms|category=FAST
2026-01-17 10:29:22.349 | [03088591-595f-4a29-b19c-71b027e5f771] | 03088591-595f-4a29-b19c-71b027e5f771|method=GET|path=/api/warehouses|status=200|duration=15ms|category=FAST
2026-01-17 10:35:32.716 | [86434b43-639e-4523-8ef8-87b8c677533a] | 86434b43-639e-4523-8ef8-87b8c677533a|method=GET|path=/api/business-info/1|status=200|duration=359ms|category=FAST
2026-01-17 10:35:32.758 | [3b5c1802-9d0b-4125-b664-2bf898f7853e] | 3b5c1802-9d0b-4125-b664-2bf898f7853e|method=GET|path=/api/variants|status=200|duration=415ms|category=FAST
2026-01-17 10:35:35.583 | [616163f2-5cef-4a6c-9d09-a1709ed95049] | 616163f2-5cef-4a6c-9d09-a1709ed95049|method=GET|path=/api/bank-accounts|status=200|duration=47ms|category=FAST
2026-01-17 10:36:46.396 | [c772be6d-8ada-437e-9428-817882eda59e] | c772be6d-8ada-437e-9428-817882eda59e|method=GET|path=/api/variants|status=200|duration=18ms|category=FAST
2026-01-17 10:36:46.407 | [c1c4b961-0303-462b-9afd-d1725fe62902] | c1c4b961-0303-462b-9afd-d1725fe62902|method=GET|path=/api/business-info/1|status=200|duration=29ms|category=FAST
2026-01-17 10:36:49.219 | [abd24606-765c-4192-b75c-38c08a11d144] | abd24606-765c-4192-b75c-38c08a11d144|method=GET|path=/api/bank-accounts|status=200|duration=16ms|category=FAST
2026-01-17 10:36:59.021 | [fe3b3440-eafa-4a28-beb0-155c623f5460] | fe3b3440-eafa-4a28-beb0-155c623f5460|method=GET|path=/api/warehouses|status=200|duration=44ms|category=FAST
2026-01-17 10:37:01.014 | [f6bf2521-86c4-4ac6-af32-89f3641a5fc5] | f6bf2521-86c4-4ac6-af32-89f3641a5fc5|method=GET|path=/api/bank-accounts|status=200|duration=4ms|category=FAST
2026-01-17 10:37:15.832 | [677d3e66-f384-4fad-b7cc-b657f7b519e5] | 677d3e66-f384-4fad-b7cc-b657f7b519e5|method=GET|path=/api/business-info/1|status=200|duration=5ms|category=FAST
2026-01-17 10:37:15.832 | [e7285cf1-045f-42ee-b647-afcfee5f3541] | e7285cf1-045f-42ee-b647-afcfee5f3541|method=GET|path=/api/variants|status=200|duration=10ms|category=FAST
2026-01-17 10:37:19.635 | [05cdc367-3b9c-4ada-942c-6e8a0b2ee979] | 05cdc367-3b9c-4ada-942c-6e8a0b2ee979|method=GET|path=/api/bank-accounts|status=200|duration=16ms|category=FAST
2026-01-17 10:40:55.472 | [66969e09-e8f7-4fde-9a1e-19addab92ea0] | 66969e09-e8f7-4fde-9a1e-19addab92ea0|method=GET|path=/api/business-info/1|status=200|duration=11ms|category=FAST
2026-01-17 10:40:55.472 | [f82fa7d9-61b8-4939-ac02-7f90a41d04f4] | f82fa7d9-61b8-4939-ac02-7f90a41d04f4|method=GET|path=/api/variants|status=200|duration=16ms|category=FAST
2026-01-17 10:41:03.650 | [72958be4-9cd2-4260-9da4-0d45841d7251] | 72958be4-9cd2-4260-9da4-0d45841d7251|method=POST|path=/api/auth/login|status=200|duration=878ms|category=MEDIUM
